record divider  00 00 00.00 +00 00 00.0 2000.0 #####################
Titan     00:00 17 25 45.87 -21 56 02.7 2000.0 dra=-0.743 ddec=0.208 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     00:10 17 25 45.73 -21 56 02.7 2000.0 dra=-0.743 ddec=0.210 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     00:20 17 25 45.60 -21 56 02.7 2000.0 dra=-0.744 ddec=0.211 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     00:30 17 25 45.47 -21 56 02.6 2000.0 dra=-0.745 ddec=0.213 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     00:40 17 25 45.33 -21 56 02.6 2000.0 dra=-0.745 ddec=0.215 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     00:50 17 25 45.20 -21 56 02.5 2000.0 dra=-0.746 ddec=0.218 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     01:00 17 25 45.07 -21 56 02.5 2000.0 dra=-0.746 ddec=0.220 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     01:10 17 25 44.93 -21 56 02.5 2000.0 dra=-0.747 ddec=0.223 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     01:20 17 25 44.80 -21 56 02.4 2000.0 dra=-0.747 ddec=0.225 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     01:30 17 25 44.66 -21 56 02.4 2000.0 dra=-0.748 ddec=0.228 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     01:40 17 25 44.53 -21 56 02.3 2000.0 dra=-0.749 ddec=0.231 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     01:50 17 25 44.39 -21 56 02.3 2000.0 dra=-0.749 ddec=0.235 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     02:00 17 25 44.26 -21 56 02.2 2000.0 dra=-0.750 ddec=0.238 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     02:10 17 25 44.12 -21 56 02.2 2000.0 dra=-0.750 ddec=0.241 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     02:20 17 25 43.99 -21 56 02.2 2000.0 dra=-0.751 ddec=0.245 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     02:30 17 25 43.85 -21 56 02.1 2000.0 dra=-0.751 ddec=0.249 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     02:40 17 25 43.72 -21 56 02.1 2000.0 dra=-0.752 ddec=0.253 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     02:50 17 25 43.58 -21 56 02.0 2000.0 dra=-0.753 ddec=0.257 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     03:00 17 25 43.45 -21 56 02.0 2000.0 dra=-0.753 ddec=0.262 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     03:10 17 25 43.31 -21 56 01.9 2000.0 dra=-0.754 ddec=0.266 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     03:20 17 25 43.18 -21 56 01.9 2000.0 dra=-0.754 ddec=0.271 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     03:30 17 25 43.04 -21 56 01.8 2000.0 dra=-0.755 ddec=0.276 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     03:40 17 25 42.91 -21 56 01.8 2000.0 dra=-0.755 ddec=0.281 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     03:50 17 25 42.77 -21 56 01.7 2000.0 dra=-0.756 ddec=0.286 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     04:00 17 25 42.63 -21 56 01.7 2000.0 dra=-0.756 ddec=0.291 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     04:10 17 25 42.50 -21 56 01.6 2000.0 dra=-0.757 ddec=0.297 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     04:20 17 25 42.36 -21 56 01.6 2000.0 dra=-0.757 ddec=0.303 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     04:30 17 25 42.23 -21 56 01.5 2000.0 dra=-0.758 ddec=0.308 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     04:40 17 25 42.09 -21 56 01.5 2000.0 dra=-0.758 ddec=0.314 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     04:50 17 25 41.95 -21 56 01.4 2000.0 dra=-0.758 ddec=0.320 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     05:00 17 25 41.82 -21 56 01.3 2000.0 dra=-0.759 ddec=0.326 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     05:10 17 25 41.68 -21 56 01.3 2000.0 dra=-0.759 ddec=0.333 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     05:20 17 25 41.54 -21 56 01.2 2000.0 dra=-0.760 ddec=0.339 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     05:30 17 25 41.41 -21 56 01.2 2000.0 dra=-0.760 ddec=0.345 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     05:40 17 25 41.27 -21 56 01.1 2000.0 dra=-0.760 ddec=0.352 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     05:50 17 25 41.13 -21 56 01.0 2000.0 dra=-0.760 ddec=0.359 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     06:00 17 25 41.00 -21 56 01.0 2000.0 dra=-0.761 ddec=0.365 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     06:10 17 25 40.86 -21 56 00.9 2000.0 dra=-0.761 ddec=0.372 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     06:20 17 25 40.72 -21 56 00.8 2000.0 dra=-0.761 ddec=0.379 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
