record divider  00 00 00.00 +00 00 00.0 2000.0 #####################
Neptune   11:40 23 01 32.91 -07 14 23.3 2000.0 dra=-0.150 ddec=-1.01 rotmode=pa rotdest=0 vmag=7.84 rmag=7.84
Neptune   11:50 23 01 32.89 -07 14 23.4 2000.0 dra=-0.151 ddec=-1.01 rotmode=pa rotdest=0 vmag=7.84 rmag=7.84
Neptune   12:00 23 01 32.86 -07 14 23.6 2000.0 dra=-0.151 ddec=-1.01 rotmode=pa rotdest=0 vmag=7.84 rmag=7.84
Neptune   12:10 23 01 32.84 -07 14 23.8 2000.0 dra=-0.151 ddec=-1.01 rotmode=pa rotdest=0 vmag=7.84 rmag=7.84
Neptune   12:20 23 01 32.81 -07 14 23.9 2000.0 dra=-0.151 ddec=-1.01 rotmode=pa rotdest=0 vmag=7.84 rmag=7.84
Neptune   12:30 23 01 32.78 -07 14 24.1 2000.0 dra=-0.151 ddec=-1.01 rotmode=pa rotdest=0 vmag=7.84 rmag=7.84
Neptune   12:40 23 01 32.76 -07 14 24.3 2000.0 dra=-0.151 ddec=-1.01 rotmode=pa rotdest=0 vmag=7.84 rmag=7.84
Neptune   12:50 23 01 32.73 -07 14 24.4 2000.0 dra=-0.151 ddec=-1.01 rotmode=pa rotdest=0 vmag=7.84 rmag=7.84
Neptune   13:00 23 01 32.71 -07 14 24.6 2000.0 dra=-0.151 ddec=-1.01 rotmode=pa rotdest=0 vmag=7.84 rmag=7.84
Neptune   13:10 23 01 32.68 -07 14 24.8 2000.0 dra=-0.151 ddec=-1.01 rotmode=pa rotdest=0 vmag=7.84 rmag=7.84
Neptune   13:20 23 01 32.66 -07 14 24.9 2000.0 dra=-0.151 ddec=-1.01 rotmode=pa rotdest=0 vmag=7.84 rmag=7.84
Neptune   13:30 23 01 32.63 -07 14 25.1 2000.0 dra=-0.151 ddec=-1.01 rotmode=pa rotdest=0 vmag=7.84 rmag=7.84
Neptune   13:40 23 01 32.61 -07 14 25.3 2000.0 dra=-0.151 ddec=-1.01 rotmode=pa rotdest=0 vmag=7.84 rmag=7.84
Neptune   13:50 23 01 32.58 -07 14 25.4 2000.0 dra=-0.151 ddec=-1.01 rotmode=pa rotdest=0 vmag=7.84 rmag=7.84
Neptune   14:00 23 01 32.55 -07 14 25.6 2000.0 dra=-0.151 ddec=-1.01 rotmode=pa rotdest=0 vmag=7.84 rmag=7.84
HD1160          00 15 57.30 +04 15 04.0 2000.0 rotmode=pa rotdest=0 vmag=7.14 rmag=7.14 hmag=7.013 jmag=6.983 kmag=7.04 lmag=7.055 mmag=7.04 sptype=A0V
HD201941        21 12 45.32 +02 38 33.8 2000.0 rotmode=pa rotdest=0 vmag=6.99 rmag=6.99 hmag=6.673 jmag=6.678 kmag=6.602 lmag=6.61 mmag=6.63 sptype=A2/3V
HD3029          00 33 39.53 +20 26 01.6 2000.0 rotmode=pa rotdest=0 vmag=7.84 rmag=7.84 hmag=7.096 jmag=7.222 kmag=7.07 lmag=7.082 mmag=7.04 sptype=A3
