record divider  00 00 00.00 +00 00 00.0 2000.0 #####################
Io        06:50 12 57 33.97 -04 48 32.5 2000.0 dra=0.0113 ddec=-0.14 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        07:00 12 57 33.97 -04 48 32.5 2000.0 dra=0.0083 ddec=-0.13 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        07:10 12 57 33.97 -04 48 32.5 2000.0 dra=0.0058 ddec=-0.12 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        07:20 12 57 33.97 -04 48 32.6 2000.0 dra=0.0040 ddec=-0.12 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        07:30 12 57 33.97 -04 48 32.6 2000.0 dra=0.0028 ddec=-0.13 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        07:40 12 57 33.98 -04 48 32.6 2000.0 dra=0.0022 ddec=-0.13 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        07:50 12 57 33.98 -04 48 32.6 2000.0 dra=0.0021 ddec=-0.14 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        08:00 12 57 33.98 -04 48 32.7 2000.0 dra=0.0027 ddec=-0.16 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        08:10 12 57 33.98 -04 48 32.7 2000.0 dra=0.0039 ddec=-0.18 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        08:20 12 57 33.98 -04 48 32.7 2000.0 dra=0.0057 ddec=-0.20 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        08:30 12 57 33.98 -04 48 32.8 2000.0 dra=0.0081 ddec=-0.23 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        08:40 12 57 33.98 -04 48 32.8 2000.0 dra=0.0111 ddec=-0.26 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        08:50 12 57 33.98 -04 48 32.8 2000.0 dra=0.0147 ddec=-0.29 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        09:00 12 57 33.99 -04 48 32.9 2000.0 dra=0.0188 ddec=-0.33 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        09:10 12 57 33.99 -04 48 33.0 2000.0 dra=0.0236 ddec=-0.38 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
