record divider  00 00 00.00 +00 00 00.0 2000.0 #####################
Uranus    00:00 01 45 37.42 +10 17 32.5 2000.0 dra=0.1118 ddec=0.539 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    00:10 01 45 37.44 +10 17 32.6 2000.0 dra=0.1120 ddec=0.539 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    00:20 01 45 37.46 +10 17 32.6 2000.0 dra=0.1122 ddec=0.539 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    00:30 01 45 37.48 +10 17 32.7 2000.0 dra=0.1125 ddec=0.540 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    00:40 01 45 37.50 +10 17 32.8 2000.0 dra=0.1127 ddec=0.540 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    00:50 01 45 37.52 +10 17 32.9 2000.0 dra=0.1129 ddec=0.540 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    01:00 01 45 37.54 +10 17 33.0 2000.0 dra=0.1131 ddec=0.540 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    01:10 01 45 37.56 +10 17 33.1 2000.0 dra=0.1132 ddec=0.541 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    01:20 01 45 37.58 +10 17 33.2 2000.0 dra=0.1134 ddec=0.541 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    01:30 01 45 37.60 +10 17 33.3 2000.0 dra=0.1136 ddec=0.541 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    01:40 01 45 37.62 +10 17 33.4 2000.0 dra=0.1137 ddec=0.542 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    01:50 01 45 37.64 +10 17 33.5 2000.0 dra=0.1139 ddec=0.542 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    02:00 01 45 37.65 +10 17 33.5 2000.0 dra=0.1140 ddec=0.542 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    02:10 01 45 37.67 +10 17 33.6 2000.0 dra=0.1141 ddec=0.543 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    02:20 01 45 37.69 +10 17 33.7 2000.0 dra=0.1142 ddec=0.543 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    02:30 01 45 37.71 +10 17 33.8 2000.0 dra=0.1143 ddec=0.544 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    02:40 01 45 37.73 +10 17 33.9 2000.0 dra=0.1144 ddec=0.544 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
