record divider  00 00 00.00 +00 00 00.0 2000.0 #####################
Uranus    06:50 01 45 32.65 +10 17 07.9 2000.0 dra=0.1273 ddec=0.643 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    07:00 01 45 32.67 +10 17 08.0 2000.0 dra=0.1271 ddec=0.643 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    07:10 01 45 32.69 +10 17 08.1 2000.0 dra=0.1268 ddec=0.643 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    07:20 01 45 32.72 +10 17 08.2 2000.0 dra=0.1266 ddec=0.644 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    07:30 01 45 32.74 +10 17 08.3 2000.0 dra=0.1263 ddec=0.644 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    07:40 01 45 32.76 +10 17 08.4 2000.0 dra=0.1260 ddec=0.644 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    07:50 01 45 32.78 +10 17 08.6 2000.0 dra=0.1257 ddec=0.644 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    08:00 01 45 32.80 +10 17 08.7 2000.0 dra=0.1254 ddec=0.645 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    08:10 01 45 32.82 +10 17 08.8 2000.0 dra=0.1251 ddec=0.645 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    08:20 01 45 32.84 +10 17 08.9 2000.0 dra=0.1248 ddec=0.645 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    08:30 01 45 32.86 +10 17 09.0 2000.0 dra=0.1244 ddec=0.645 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    08:40 01 45 32.89 +10 17 09.1 2000.0 dra=0.1241 ddec=0.645 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    08:50 01 45 32.91 +10 17 09.2 2000.0 dra=0.1238 ddec=0.645 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    09:00 01 45 32.93 +10 17 09.3 2000.0 dra=0.1234 ddec=0.645 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    09:10 01 45 32.95 +10 17 09.4 2000.0 dra=0.1231 ddec=0.645 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    09:20 01 45 32.97 +10 17 09.5 2000.0 dra=0.1227 ddec=0.645 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    09:30 01 45 32.99 +10 17 09.6 2000.0 dra=0.1223 ddec=0.645 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    09:40 01 45 33.01 +10 17 09.7 2000.0 dra=0.1220 ddec=0.645 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    09:50 01 45 33.03 +10 17 09.8 2000.0 dra=0.1216 ddec=0.645 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    10:00 01 45 33.05 +10 17 10.0 2000.0 dra=0.1213 ddec=0.645 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    10:10 01 45 33.07 +10 17 10.1 2000.0 dra=0.1209 ddec=0.644 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    10:20 01 45 33.09 +10 17 10.2 2000.0 dra=0.1205 ddec=0.644 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    10:30 01 45 33.11 +10 17 10.3 2000.0 dra=0.1201 ddec=0.644 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    10:40 01 45 33.13 +10 17 10.4 2000.0 dra=0.1198 ddec=0.644 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    10:50 01 45 33.15 +10 17 10.5 2000.0 dra=0.1194 ddec=0.643 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
