record divider  00 00 00.00 +00 00 00.0 2000.0 #####################
501       14:10 12 58 21.08 -04 54 02.1 2000.0 dra=1.1648 ddec=-8.54 rotmode=pa rotdest=0 vmag=5.96 rmag=5.96
501       14:20 12 58 21.27 -04 54 03.5 2000.0 dra=1.1879 ddec=-8.69 rotmode=pa rotdest=0 vmag=5.96 rmag=5.96
501       14:30 12 58 21.48 -04 54 05.0 2000.0 dra=1.2109 ddec=-8.84 rotmode=pa rotdest=0 vmag=5.96 rmag=5.96
501       14:40 12 58 21.68 -04 54 06.5 2000.0 dra=1.2338 ddec=-8.99 rotmode=pa rotdest=0 vmag=5.96 rmag=5.96
501       14:50 12 58 21.89 -04 54 08.0 2000.0 dra=1.2565 ddec=-9.14 rotmode=pa rotdest=0 vmag=5.96 rmag=5.96
501       15:00 12 58 22.10 -04 54 09.5 2000.0 dra=1.2789 ddec=-9.29 rotmode=pa rotdest=0 vmag=5.96 rmag=5.96
501       15:10 12 58 22.32 -04 54 11.1 2000.0 dra=1.3012 ddec=-9.44 rotmode=pa rotdest=0 vmag=5.96 rmag=5.96
501       15:20 12 58 22.54 -04 54 12.7 2000.0 dra=1.3233 ddec=-9.58 rotmode=pa rotdest=0 vmag=5.96 rmag=5.96
501       15:30 12 58 22.76 -04 54 14.3 2000.0 dra=1.3451 ddec=-9.73 rotmode=pa rotdest=0 vmag=5.96 rmag=5.96
501       15:40 12 58 22.99 -04 54 15.9 2000.0 dra=1.3667 ddec=-9.87 rotmode=pa rotdest=0 vmag=5.96 rmag=5.96
501       15:50 12 58 23.22 -04 54 17.6 2000.0 dra=1.3880 ddec=-10.0 rotmode=pa rotdest=0 vmag=5.96 rmag=5.96
501       16:00 12 58 23.45 -04 54 19.3 2000.0 dra=1.4091 ddec=-10.1 rotmode=pa rotdest=0 vmag=5.96 rmag=5.96
501       16:10 12 58 23.69 -04 54 21.0 2000.0 dra=1.4299 ddec=-10.2 rotmode=pa rotdest=0 vmag=5.96 rmag=5.96
501       16:20 12 58 23.93 -04 54 22.7 2000.0 dra=1.4504 ddec=-10.4 rotmode=pa rotdest=0 vmag=5.96 rmag=5.96
501       16:30 12 58 24.17 -04 54 24.4 2000.0 dra=1.4706 ddec=-10.5 rotmode=pa rotdest=0 vmag=5.96 rmag=5.96
501       16:40 12 58 24.42 -04 54 26.2 2000.0 dra=1.4904 ddec=-10.6 rotmode=pa rotdest=0 vmag=5.96 rmag=5.96
501       16:50 12 58 24.67 -04 54 28.0 2000.0 dra=1.5100 ddec=-10.8 rotmode=pa rotdest=0 vmag=5.96 rmag=5.96
501       17:00 12 58 24.92 -04 54 29.8 2000.0 dra=1.5292 ddec=-10.9 rotmode=pa rotdest=0 vmag=5.96 rmag=5.96
501       17:10 12 58 25.18 -04 54 31.7 2000.0 dra=1.5481 ddec=-11.0 rotmode=pa rotdest=0 vmag=5.96 rmag=5.96
501       17:20 12 58 25.44 -04 54 33.5 2000.0 dra=1.5666 ddec=-11.1 rotmode=pa rotdest=0 vmag=5.96 rmag=5.96
501       17:30 12 58 25.71 -04 54 35.4 2000.0 dra=1.5847 ddec=-11.2 rotmode=pa rotdest=0 vmag=5.96 rmag=5.96
501       17:40 12 58 25.97 -04 54 37.3 2000.0 dra=1.6025 ddec=-11.4 rotmode=pa rotdest=0 vmag=5.96 rmag=5.96
501       17:50 12 58 26.24 -04 54 39.2 2000.0 dra=1.6199 ddec=-11.5 rotmode=pa rotdest=0 vmag=5.96 rmag=5.96
501       18:00 12 58 26.51 -04 54 41.1 2000.0 dra=1.6369 ddec=-11.6 rotmode=pa rotdest=0 vmag=5.96 rmag=5.96
501       18:10 12 58 26.79 -04 54 43.1 2000.0 dra=1.6535 ddec=-11.7 rotmode=pa rotdest=0 vmag=5.96 rmag=5.96
501       18:20 12 58 27.07 -04 54 45.0 2000.0 dra=1.6696 ddec=-11.8 rotmode=pa rotdest=0 vmag=5.96 rmag=5.96
501       18:30 12 58 27.35 -04 54 47.0 2000.0 dra=1.6854 ddec=-11.9 rotmode=pa rotdest=0 vmag=5.96 rmag=5.96
501       18:40 12 58 27.63 -04 54 49.0 2000.0 dra=1.7007 ddec=-12.0 rotmode=pa rotdest=0 vmag=5.96 rmag=5.96
501       18:50 12 58 27.92 -04 54 51.0 2000.0 dra=1.7155 ddec=-12.1 rotmode=pa rotdest=0 vmag=5.96 rmag=5.96
501       19:00 12 58 28.20 -04 54 53.1 2000.0 dra=1.7300 ddec=-12.2 rotmode=pa rotdest=0 vmag=5.96 rmag=5.96
501       19:10 12 58 28.49 -04 54 55.1 2000.0 dra=1.7440 ddec=-12.3 rotmode=pa rotdest=0 vmag=5.96 rmag=5.96
501       19:20 12 58 28.79 -04 54 57.2 2000.0 dra=1.7575 ddec=-12.3 rotmode=pa rotdest=0 vmag=5.96 rmag=5.96
501       19:30 12 58 29.08 -04 54 59.2 2000.0 dra=1.7705 ddec=-12.4 rotmode=pa rotdest=0 vmag=5.96 rmag=5.96
501       19:40 12 58 29.38 -04 55 01.3 2000.0 dra=1.7831 ddec=-12.5 rotmode=pa rotdest=0 vmag=5.96 rmag=5.96
501       19:50 12 58 29.68 -04 55 03.4 2000.0 dra=1.7952 ddec=-12.6 rotmode=pa rotdest=0 vmag=5.96 rmag=5.96
501       20:00 12 58 29.98 -04 55 05.5 2000.0 dra=1.8068 ddec=-12.6 rotmode=pa rotdest=0 vmag=5.96 rmag=5.96
501       20:10 12 58 30.28 -04 55 07.7 2000.0 dra=1.8179 ddec=-12.7 rotmode=pa rotdest=0 vmag=5.96 rmag=5.96
501       20:20 12 58 30.59 -04 55 09.8 2000.0 dra=1.8286 ddec=-12.8 rotmode=pa rotdest=0 vmag=5.96 rmag=5.96
501       20:30 12 58 30.89 -04 55 11.9 2000.0 dra=1.8387 ddec=-12.8 rotmode=pa rotdest=0 vmag=5.96 rmag=5.96
501       20:40 12 58 31.20 -04 55 14.1 2000.0 dra=1.8483 ddec=-12.9 rotmode=pa rotdest=0 vmag=5.96 rmag=5.96
