record divider  00 00 00.00 +00 00 00.0 2000.0 #####################
501       07:00 12 58 16.24 -04 53 24.5 2000.0 dra=0.2402 ddec=-2.25 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
501       07:10 12 58 16.28 -04 53 24.9 2000.0 dra=0.2557 ddec=-2.36 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
501       07:20 12 58 16.32 -04 53 25.3 2000.0 dra=0.2716 ddec=-2.48 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
501       07:30 12 58 16.37 -04 53 25.7 2000.0 dra=0.2881 ddec=-2.59 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
501       07:40 12 58 16.42 -04 53 26.1 2000.0 dra=0.3049 ddec=-2.71 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
501       07:50 12 58 16.47 -04 53 26.6 2000.0 dra=0.3222 ddec=-2.84 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
501       08:00 12 58 16.52 -04 53 27.1 2000.0 dra=0.3400 ddec=-2.96 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
501       08:10 12 58 16.58 -04 53 27.6 2000.0 dra=0.3581 ddec=-3.09 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
501       08:20 12 58 16.64 -04 53 28.1 2000.0 dra=0.3766 ddec=-3.22 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
501       08:30 12 58 16.71 -04 53 28.7 2000.0 dra=0.3956 ddec=-3.35 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
501       08:40 12 58 16.78 -04 53 29.2 2000.0 dra=0.4149 ddec=-3.49 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
501       08:50 12 58 16.85 -04 53 29.8 2000.0 dra=0.4345 ddec=-3.62 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
501       09:00 12 58 16.92 -04 53 30.4 2000.0 dra=0.4545 ddec=-3.76 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
501       09:10 12 58 17.00 -04 53 31.1 2000.0 dra=0.4748 ddec=-3.90 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
501       09:20 12 58 17.08 -04 53 31.7 2000.0 dra=0.4955 ddec=-4.05 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
501       09:30 12 58 17.17 -04 53 32.4 2000.0 dra=0.5164 ddec=-4.19 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
501       09:40 12 58 17.25 -04 53 33.1 2000.0 dra=0.5377 ddec=-4.34 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
501       09:50 12 58 17.35 -04 53 33.9 2000.0 dra=0.5592 ddec=-4.48 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
501       10:00 12 58 17.44 -04 53 34.6 2000.0 dra=0.5809 ddec=-4.63 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
501       10:10 12 58 17.54 -04 53 35.4 2000.0 dra=0.6029 ddec=-4.78 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
501       10:20 12 58 17.64 -04 53 36.2 2000.0 dra=0.6252 ddec=-4.93 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
501       10:30 12 58 17.75 -04 53 37.1 2000.0 dra=0.6476 ddec=-5.08 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
501       10:40 12 58 17.86 -04 53 37.9 2000.0 dra=0.6703 ddec=-5.24 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
501       10:50 12 58 17.97 -04 53 38.8 2000.0 dra=0.6931 ddec=-5.39 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
501       11:00 12 58 18.09 -04 53 39.7 2000.0 dra=0.7161 ddec=-5.55 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
501       11:10 12 58 18.21 -04 53 40.7 2000.0 dra=0.7393 ddec=-5.70 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
501       11:20 12 58 18.34 -04 53 41.6 2000.0 dra=0.7626 ddec=-5.86 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
501       11:30 12 58 18.47 -04 53 42.6 2000.0 dra=0.7860 ddec=-6.02 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
501       11:40 12 58 18.60 -04 53 43.7 2000.0 dra=0.8095 ddec=-6.18 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
501       11:50 12 58 18.74 -04 53 44.7 2000.0 dra=0.8331 ddec=-6.33 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
501       12:00 12 58 18.88 -04 53 45.8 2000.0 dra=0.8568 ddec=-6.49 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
501       12:10 12 58 19.02 -04 53 46.9 2000.0 dra=0.8806 ddec=-6.65 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
501       12:20 12 58 19.17 -04 53 48.0 2000.0 dra=0.9044 ddec=-6.81 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
501       12:30 12 58 19.33 -04 53 49.1 2000.0 dra=0.9282 ddec=-6.97 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
501       12:40 12 58 19.48 -04 53 50.3 2000.0 dra=0.9521 ddec=-7.13 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
501       12:50 12 58 19.65 -04 53 51.5 2000.0 dra=0.9759 ddec=-7.29 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
501       13:00 12 58 19.81 -04 53 52.7 2000.0 dra=0.9997 ddec=-7.45 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
501       13:10 12 58 19.98 -04 53 54.0 2000.0 dra=1.0235 ddec=-7.60 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
501       13:20 12 58 20.15 -04 53 55.3 2000.0 dra=1.0473 ddec=-7.76 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
501       13:30 12 58 20.33 -04 53 56.6 2000.0 dra=1.0709 ddec=-7.92 rotmode=pa rotdest=0 vmag=5.96 rmag=5.96
501       13:40 12 58 20.51 -04 53 57.9 2000.0 dra=1.0945 ddec=-8.07 rotmode=pa rotdest=0 vmag=5.96 rmag=5.96
501       13:50 12 58 20.70 -04 53 59.3 2000.0 dra=1.1181 ddec=-8.23 rotmode=pa rotdest=0 vmag=5.96 rmag=5.96
501       14:00 12 58 20.89 -04 54 00.7 2000.0 dra=1.1415 ddec=-8.39 rotmode=pa rotdest=0 vmag=5.96 rmag=5.96
