 Dist(deg)   ID           RA(J2000)    DEC(J2000)    Y       J       H       K       L       M    catalog
  127.1    P545-C        08:29:25.10  +05:56:08.0  12.031   0.000   0.000   0.000   0.000   0.000    W                      
  131.7    FS-16         08:51:15.01  +11:49:21.2  13.197   0.000   0.000   0.000   0.000   0.000    W                      
  126.3    FS-125        09:03:20.60  +34:21:03.9  11.042   0.000   0.000   0.000   0.000   0.000    W                      
  155.6    FS-19         10:33:42.75  -11:41:38.3  13.535   0.000   0.000   0.000   0.000   0.000    W                      
  141.6    GL347A        09:28:53.50  -07:22:15.0   0.000   0.000   0.000   0.000   7.367   0.000    U                      
   35.8    HD225023      00:02:46.03  +35:48:55.7   0.000   0.000   0.000   0.000   6.979   6.950    U                      
   56.9    HD18881       03:03:31.94  +38:24:36.1   0.000   0.000   0.000   0.000   7.160   7.170    U                      
   54.8    HD22686       03:38:55.09  +02:45:48.6   0.000   0.000   0.000   0.000   7.199   7.160    U                      
   86.0    BS1869        05:36:15.96  +47:42:55.0   0.000   0.000   0.000   0.000   0.000   5.400    U                      
   94.5    HD44612       06:24:46.60  +43:32:54.5   0.000   0.000   0.000   0.000   7.050   7.070    U                      
   93.0    BS2228        06:17:34.65  +46:25:26.2   0.000   0.000   0.000   0.000   0.000   5.870    U                      
   87.5    HD38921       05:47:22.19  -38:13:51.3   0.000   0.000   0.000   0.000   7.513   7.490    U                      
   79.8    SAO112626     05:19:17.16  +01:42:16.1   0.000   0.000   0.000   0.000   8.559   0.000    U                      
   59.5    BS1140        03:44:48.22  +24:17:22.1   0.000   0.000   0.000   0.000   0.000   5.570    U                      
   63.7    BS696         02:25:16.03  +56:36:35.4   0.000   0.000   0.000   0.000   0.000   5.320    U                      
   11.1    FS-32         23:16:12.37  -01:50:34.6  13.469   0.000   0.000   0.000   0.000   0.000    W                      
   22.0    HD3029        00:33:39.53  +20:26:01.7   0.000   0.000   0.000   0.000   7.082   7.040    U                      
   89.6    HD40335       05:58:13.52  +01:51:23.0   0.000   0.000   0.000   0.000   6.441   6.410    U                      
    5.8    HD1160        00:15:57.30  +04:15:04.0   0.000   0.000   0.000   0.000   7.055   7.040    U                      
  103.0    SA98-653      06:52:04.95  -00:18:18.3   0.000   9.428   9.422   9.443   0.000   0.000    U                      
   64.7    FS-148        19:41:23.52  -03:50:56.1   0.000   9.437   9.423   9.438   9.460   0.000    U                      
   34.3    FS-155        23:49:47.82  +34:13:05.1   0.000   9.964   9.472   9.383   9.320   0.000    U                      
   61.3    FS-108        03:01:09.85  +46:58:47.7   0.000  10.056   9.765   9.713   9.650   0.000    U                      
   75.7    FS-119        05:02:57.44  -01:46:42.6   0.000   9.857   9.818   9.810   9.800   0.000    U                      
   78.6    FS-147        19:01:55.27  +42:29:19.6   0.000   9.868   9.839   9.834   9.840   0.000    U                      
   77.2    L547          18:51:15.60  -04:16:02.0   0.000  11.753   9.890   8.889   0.000   0.000    U                      
   65.9    FS-150        20:36:08.44  +49:38:23.5   0.000  10.133   9.985   9.941   9.910   0.000    U                      
   64.2    FS-149        20:00:39.25  +29:58:40.0   0.000  10.073  10.061  10.061  10.060   0.000    U                      
  131.7    FS-123        08:51:11.88  +11:45:21.5   0.000  10.126  10.158  10.203  10.250   0.000    U                      
   89.3    FS-13         05:57:07.59  +00:01:11.4   0.000  10.471  10.176  10.126  10.100   0.000    U                      
   79.3    FS-146        18:54:04.01  +37:07:18.6   0.000  10.708  10.209  10.120   0.000   0.000    U                      
   52.3    FS-107        01:54:10.14  +45:50:38.0   0.000  10.466  10.256  10.224  10.180   0.000    U                      
   28.7    FS-4          01:54:37.70  +00:43:00.5   0.000  10.538  10.304  10.266   0.000   0.000    U                      
   61.5    FS-111        03:41:08.55  +33:09:35.5   0.000  10.618  10.361  10.275  10.230   0.000    U                      
  108.6    FS-138        16:28:06.72  +34:58:48.3   0.000  10.391  10.391  10.416  10.440   0.000    U                      
   30.8    FS-101        00:13:43.58  +30:37:59.9   0.000  10.540  10.405  10.366  10.340   0.000    U                      
   43.7    FS-104        01:04:59.43  +41:06:30.8   0.000  10.503  10.414  10.395  10.360   0.000    U                      
  126.3    FS-125        09:03:20.60  +34:21:03.9   0.000  10.797  10.423  10.355  10.330   0.000    U                      
  101.0    FS-140        17:13:22.65  -18:53:33.8   0.000  10.775  10.430  10.369  10.340   0.000    U                      
   13.8    FS-2          00:55:09.93  +00:43:13.1   0.000  10.699  10.495  10.470  10.440   0.000    U                      
  102.9    S427-D        06:59:45.60  -30:13:44.0   0.000  10.833  10.499  10.431   0.000   0.000    P                      
  100.0    P035-R        08:25:43.80  +73:01:18.0   0.000  10.819  10.546  10.499   0.000   0.000    P                      
   68.7    FS-117        04:23:56.61  +26:36:38.0   0.000  11.495  10.560  10.045   9.750   0.000    U                      
  108.8    S209-D        08:01:15.40  -50:19:33.0   0.000  10.914  10.585  10.487   0.000   0.000    P                      
  103.3    P041-C        14:51:57.90  +71:43:13.0   0.000  10.873  10.588  10.523   0.000   0.000    P                      
   91.8    S005-D        07:19:38.60  -84:35:06.0   0.000  10.885  10.598  10.514   0.000   0.000    P                      
   74.6    S808-C        19:01:55.40  -04:29:12.0   0.000  10.925  10.628  10.543   0.000   0.000    U                      
   40.1    S294-D        00:33:15.20  -39:24:10.0   0.000  10.932  10.657  10.596   0.000   0.000    P                      
   74.6    S808-C        19:01:55.40  -04:29:12.0   0.000  10.966  10.658  10.566   0.000   0.000    P                      
  125.2    S870-T        15:39:03.50  +00:14:54.0   0.000  10.862  10.667  10.632   0.000   0.000    U                      
  125.2    S870-T        15:39:03.50  +00:14:54.0   0.000  10.914  10.701  10.649   0.000   0.000    P                      
   16.4    S754-C        01:03:15.80  -04:20:44.0   0.000  11.008  10.721  10.669   0.000   0.000    U                      
  145.8    S708-D        09:48:56.40  -10:30:32.0   0.000  11.034  10.736  10.671   0.000   0.000    U                      
   16.4    S754-C        01:03:15.80  -04:20:44.0   0.000  11.045  10.750  10.693   0.000   0.000    P                      
   81.3    S252-D        05:10:25.60  -44:52:46.0   0.000  11.059  10.766  10.708   0.000   0.000    P                      
  145.8    S708-D        09:48:56.40  -10:30:32.0   0.000  11.081  10.775  10.715   0.000   0.000    P                      
   89.2    S024-D        18:18:46.20  -80:06:58.0   0.000  11.039  10.778  10.693   0.000   0.000    P                      
   98.2    S875-C        17:27:22.20  -00:19:25.0   0.000  11.132  10.835  10.739   0.000   0.000    P                      
   92.5    FS-141        17:48:58.87  +23:17:43.7   0.000  11.152  10.853  10.785   0.000   0.000    U                      
   93.4    FS-120        06:14:01.44  +15:09:58.3   0.000  11.299  10.855  10.603   0.000   0.000    U                      
  122.3    P133-C        13:58:40.20  +52:06:24.0   0.000  11.113  10.876  10.832   0.000   0.000    U                      
